Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Tousled,a tangled mass (as of hair),rough dalliance,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"confuse, derange, disarrange, disarray, discompose, dishevel, disjoint, dislocate, disorder, disorganize, disrupt, disturb, hash, jumble, mess (up), mix (up), muddle, muss, rumple, scramble, shuffle, tumble, upset","arrange, array, dispose, draw up, marshal 
 (also marshall), order, organize, range, regulate, straighten (up), tidy",Oops! So Empty!,first
Touted,to make much of,"to solicit, peddle, or persuade importunately",to spy on,"to spy out information about (a racing stable, a horse, etc.)",to solicit patronage,"ballyhoo, blow up, crack up, cry up, glorify, trumpet, tub-thump","ballyhoo, blow up, crack up, cry up, glorify, trumpet, tub-thump",Oops! So Empty!,second
Transient,passing especially quickly into and out of existence,affecting something or producing results beyond itself,one that is transient (see transient entry 1),a temporary oscillation that occurs in a circuit because of a sudden change of voltage or of load,Oops! So Empty!,"brief, deciduous, ephemeral, evanescent, flash, fleeting, fugacious, fugitive, impermanent, momentary, passing, short-lived, temporary, transitory","ceaseless, dateless, deathless, endless, enduring, eternal, everlasting, immortal, lasting, long-lived, permanent, perpetual, timeless, undying, unending","transient, transitory, ephemeral, momentary, fugitive, fleeting, evanescent mean lasting or staying only a short time

transient applies to what is actually short in its duration or stay
a hotel catering primarily to transient guests

transitory applies to what is by its nature or essence bound to change, pass, or come to an end
fame in the movies is transitory

ephemeral implies striking brevity of life or duration
many slang words are ephemeral

momentary suggests coming and going quickly and therefore being merely a brief interruption of a more enduring state
my feelings of guilt were only momentary

fugitive and fleeting imply passing so quickly as to make apprehending difficult
let a fugitive smile flit across his face

fleeting moments of joy
evanescent suggests a quick vanishing and an airy or fragile quality

the story has an evanescent touch of whimsy that is lost in translation",third
Transitory,of brief duration,tending to pass away,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"brief, deciduous, ephemeral, evanescent, flash, fleeting, fugacious, fugitive, impermanent, momentary, passing, short-lived, temporary, transient","ceaseless, dateless, deathless, endless, enduring, eternal, everlasting, immortal, lasting, long-lived, permanent, perpetual, timeless, undying, unending","transient, transitory, ephemeral, momentary, fugitive, fleeting, evanescent mean lasting or staying only a short time

transient applies to what is actually short in its duration or stay
a hotel catering primarily to transient guests

transitory applies to what is by its nature or essence bound to change, pass, or come to an end
fame in the movies is transitory

ephemeral implies striking brevity of life or duration
many slang words are ephemeral

momentary suggests coming and going quickly and therefore being merely a brief interruption of a more enduring state
my feelings of guilt were only momentary

fugitive and fleeting imply passing so quickly as to make apprehending difficult
let a fugitive smile flit across his face

fleeting moments of joy
evanescent suggests a quick vanishing and an airy or fragile quality

the story has an evanescent touch of whimsy that is lost in translation",third
Trepidation,a nervous or fearful feeling of uncertain agitation,a tremulous motion,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"alarm 
 (also alarum), anxiety, dread, fear, fearfulness, fright, horror, panic, scare, terror","alarm 
 (also alarum), anxiety, dread, fear, fearfulness, fright, horror, panic, scare, terror","fear, dread, fright, alarm, panic, terror, trepidation mean painful agitation in the presence or anticipation of danger

fear is the most general term and implies anxiety and usually loss of courage
fear of the unknown

dread usually adds the idea of intense reluctance to face or meet a person or situation and suggests aversion as well as anxiety
faced the meeting with dread

fright implies the shock of sudden, startling fear
fright at being awakened suddenly

alarm suggests a sudden and intense awareness of immediate danger
view the situation with alarm

panic implies unreasoning and overmastering fear causing hysterical activity
the news caused widespread panic

terror implies the most extreme degree of fear
immobilized with terror

trepidation adds to dread the implications of timidity, trembling, and hesitation
raised the subject with trepidation",first
Trickle,to issue or fall in drops,to move or go one by one or little by little,to run or fall in drops,to flow in a thin slow stream,to move slowly or in small numbers,"distill 
 (also distil), dribble, drip, drop","distill 
 (also distil), dribble, drip, drop",Oops! So Empty!,first
Trifle,"something of little value, substance, or importance","a dessert typically consisting of plain or sponge cake often soaked with wine or spirits (such as brandy or rum) and topped with layers of preserves, custard, and cream",to treat someone or something as unimportant,to handle something idly,Oops! So Empty!,"bagatelle, child's play, frippery, nonproblem, nothing, picayune, shuck(s), small beer, small change, triviality","coquet 
 (or coquette), dally, flirt, frivol, mess around, toy","trifle, toy, dally, flirt, coquet mean to deal with or act toward without serious purpose

trifle may imply playfulness, unconcern, indulgent contempt
to trifle with a lover's feelings

toy implies acting without full attention or serious exertion of one's powers
a political novice toying with great issues

dally suggests indulging in thoughts or plans merely as an amusement
dallying with the idea of building a boat someday

flirt implies an interest or attention that soon passes to another object
flirted with one fashionable ism after another

coquet implies attracting interest or admiration without serious intention
companies that coquet with environmentalism solely for public relations",first
Trite,hackneyed or boring from much use,not interesting or effective because of being used too often,so common that the newness and cleverness have worn off,Oops! So Empty!,Oops! So Empty!,"banal, cliché 
 (also cliche), clichéd, cobwebby, commonplace, hack, hackney, hackneyed, moth-eaten, musty, obligatory, shopworn, stale, stereotyped, threadbare, timeworn, tired, well-worn","fresh, new, novel, original, unclichéd, unhackneyed","trite, hackneyed, stereotyped, threadbare mean lacking the freshness that evokes attention or interest

trite applies to a once effective phrase or idea spoiled from long familiarity
""you win some, you lose some"" is a trite expression

hackneyed stresses being worn out by overuse so as to become dull and meaningless
all of the metaphors and images in the poem are hackneyed

stereotyped implies falling invariably into the same pattern or form
views of minorities that are stereotyped and out-of-date

threadbare applies to what has been used until its possibilities of interest have been totally exhausted
a mystery novel with a threadbare plot",first
Trudged,to walk or march steadily and usually laboriously,to trudge along or over,a long tiring walk,to walk slowly and heavily because you are tired or working very hard,"a long, slow walk that makes you tired","barge, clump, flog 
[British], flounder, galumph, lumber, lump, plod, pound, scuff, scuffle, shamble, shuffle, slog, slough, stamp, stomp, stumble, stump, tramp, tromp","breeze, coast, glide, slide, waltz, whisk",Oops! So Empty!,second
Trundle,to propel by causing to rotate,to transport in or as if in a wheeled vehicle,to progress by revolving,to move on or as if on wheels,the motion or sound of something rolling,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,fourth
Tumult,disorderly agitation or milling about of a crowd usually with uproar and confusion of voices,violent agitation of mind or feelings,a state of noisy disorder,great mental or emotional confusion,"hubbub, din","ado, alarums and excursions, ballyhoo, blather, bluster, bobbery, bother, bustle, clatter, clutter 
[chiefly dialect], coil, commotion, corroboree 
[Australian], disturbance, do 
[chiefly dialect], foofaraw, fun, furor, furore, fuss, helter-skelter, hoo-ha 
 (also hoo-hah), hoopla, hubble-bubble, hubbub, hullabaloo, hurly, hurly-burly, hurricane, hurry, hurry-scurry 
 (or hurry-skurry), kerfuffle 
[chiefly British], moil, pandemonium, pother, row, ruckus, ruction, rumpus, shindy, splore 
[Scottish], squall, stew, stir, storm, to-do, turmoil, uproar, welter, whirl, williwaw, zoo","ado, alarums and excursions, ballyhoo, blather, bluster, bobbery, bother, bustle, clatter, clutter 
[chiefly dialect], coil, commotion, corroboree 
[Australian], disturbance, do 
[chiefly dialect], foofaraw, fun, furor, furore, fuss, helter-skelter, hoo-ha 
 (also hoo-hah), hoopla, hubble-bubble, hubbub, hullabaloo, hurly, hurly-burly, hurricane, hurry, hurry-scurry 
 (or hurry-skurry), kerfuffle 
[chiefly British], moil, pandemonium, pother, row, ruckus, ruction, rumpus, shindy, splore 
[Scottish], squall, stew, stir, storm, to-do, turmoil, uproar, welter, whirl, williwaw, zoo",Oops! So Empty!,second
